NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TETRAHYDROFOLATE INTERCONVERSION	TETRAHYDROFOLATE INTERCONVERSION	Details ...	6	-0.83206433	-1.8112049	0.0	0.46958873	0.211	123	tags=50%, list=3%, signal=51%	
PHOSPHATE ION TRANSMEMBRANE TRANSPORT	PHOSPHATE ION TRANSMEMBRANE TRANSPORT	Details ...	8	-0.9615621	-1.7930589	0.0	0.2748357	0.265	20	tags=50%, list=0%, signal=50%	
PHOSPHATE ION TRANSPORT	PHOSPHATE ION TRANSPORT	Details ...	10	-0.8930225	-1.7886658	0.021428572	0.18943734	0.271	399	tags=70%, list=10%, signal=77%	
L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT	L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT	Details ...	6	-0.87358886	-1.6616113	0.0	0.61439735	0.701	67	tags=50%, list=2%, signal=51%	
BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING	BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING	Details ...	5	-0.8151962	-1.6094049	0.0	0.8845174	0.851	92	tags=40%, list=2%, signal=41%	
INORGANIC PHOSPHATE TRANSMEMBRANE TRANSPORTER ACTIVITY	INORGANIC PHOSPHATE TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	6	-0.95026004	-1.5782833	0.0	1.0	0.917	20	tags=50%, list=0%, signal=50%	
SPERMIDINE BIOSYNTHETIC PROCESS	SPERMIDINE BIOSYNTHETIC PROCESS	Details ...	6	-0.86770505	-1.577835	0.0	0.87608767	0.917	184	tags=67%, list=4%, signal=70%	
COBALAMIN BIOSYNTHETIC PROCESS	COBALAMIN BIOSYNTHETIC PROCESS	Details ...	8	-0.6810241	-1.5680767	0.03292181	0.8585638	0.917	509	tags=38%, list=12%, signal=43%	
METHIONINE TRANSPORT	METHIONINE TRANSPORT	Details ...	5	-0.8455034	-1.5596839	0.023904383	0.82419735	0.917	241	tags=60%, list=6%, signal=64%	
SUCCINATE TRANSMEMBRANE TRANSPORT	SUCCINATE TRANSMEMBRANE TRANSPORT	Details ...	6	-0.70776874	-1.5403457	0.0	0.91061014	0.939	151	tags=33%, list=4%, signal=35%	
POTASSIUM ION BINDING	POTASSIUM ION BINDING	Details ...	12	-0.6087933	-1.528785	0.060553633	0.9401561	0.939	892	tags=42%, list=21%, signal=53%	
TYPE II PROTEIN SECRETION SYSTEM COMPLEX	TYPE II PROTEIN SECRETION SYSTEM COMPLEX	Details ...	10	-0.69032896	-1.525546	0.0	0.8991835	0.939	286	tags=40%, list=7%, signal=43%	
METHIONINE BIOSYNTHETIC PROCESS	METHIONINE BIOSYNTHETIC PROCESS	Details ...	15	-0.72586936	-1.5185425	0.0	0.87643677	0.95	262	tags=47%, list=6%, signal=50%	
6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS	6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS	Details ...	5	-0.90646094	-1.4692488	0.08007449	1.0	0.987	394	tags=100%, list=9%, signal=110%	
6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS TO GLYCERONE PHOSPHATE AND 3-SULFOLACTALDEHYDE	6-SULFOQUINOVOSE(1-) CATABOLIC PROCESS TO GLYCERONE PHOSPHATE AND 3-SULFOLACTALDEHYDE	Details ...	5	-0.90646094	-1.4575773	0.040618956	1.0	0.987	394	tags=100%, list=9%, signal=110%	
NUCLEOBASE-CONTAINING SMALL MOLECULE INTERCONVERSION	NUCLEOBASE-CONTAINING SMALL MOLECULE INTERCONVERSION	Details ...	18	-0.55355895	-1.4569758	0.040441178	1.0	0.987	726	tags=50%, list=17%, signal=60%	
AMINOACYL-TRNA EDITING ACTIVITY	AMINOACYL-TRNA EDITING ACTIVITY	Details ...	9	-0.61868304	-1.4542698	0.06963249	1.0	1.0	1402	tags=78%, list=34%, signal=117%	
