NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ANAEROBIC RESPIRATION	ANAEROBIC RESPIRATION	Details ...	56	-0.70746183	-1.884878	0.0	0.28952414	0.221	329	tags=50%, list=8%, signal=54%	
4 IRON, 4 SULFUR CLUSTER BINDING	4 IRON, 4 SULFUR CLUSTER BINDING	Details ...	112	-0.47531575	-1.8444837	0.0	0.24458878	0.284	355	tags=28%, list=9%, signal=29%	
MOLYBDENUM ION BINDING	MOLYBDENUM ION BINDING	Details ...	16	-0.7094044	-1.811137	0.0	0.25657773	0.418	209	tags=38%, list=5%, signal=39%	
MOLYBDOPTERIN COFACTOR BINDING	MOLYBDOPTERIN COFACTOR BINDING	Details ...	16	-0.7380659	-1.7947758	0.0	0.222459	0.429	209	tags=44%, list=5%, signal=46%	
HEME BINDING	HEME BINDING	Details ...	36	-0.5743232	-1.761386	0.0	0.25907338	0.538	414	tags=39%, list=10%, signal=43%	
MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	Details ...	14	-0.82690823	-1.7613043	0.0	0.21839456	0.538	283	tags=50%, list=7%, signal=53%	
IRON-SULFUR CLUSTER BINDING	IRON-SULFUR CLUSTER BINDING	Details ...	141	-0.3992158	-1.7368991	0.0	0.24838418	0.585	285	tags=23%, list=7%, signal=24%	
FORMATE DEHYDROGENASE (NAD+) ACTIVITY	FORMATE DEHYDROGENASE (NAD+) ACTIVITY	Details ...	6	-0.6919542	-1.713855	0.023172906	0.28181592	0.646	325	tags=50%, list=8%, signal=54%	
FORMATE OXIDATION	FORMATE OXIDATION	Details ...	8	-0.7837094	-1.6975762	0.0	0.31212255	0.711	325	tags=63%, list=8%, signal=68%	
PROTEIN MATURATION	PROTEIN MATURATION	Details ...	16	-0.6467408	-1.663481	0.0	0.40924135	0.776	367	tags=56%, list=9%, signal=61%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	Details ...	13	-0.7979652	-1.6587313	0.0	0.38837013	0.797	327	tags=62%, list=8%, signal=67%	
HYDRO-LYASE ACTIVITY	HYDRO-LYASE ACTIVITY	Details ...	12	-0.57534677	-1.6568235	0.016853932	0.36844963	0.797	309	tags=33%, list=7%, signal=36%	
ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	12	-0.7723588	-1.6420531	0.03717472	0.3811355	0.806	588	tags=67%, list=14%, signal=77%	
ANAEROBIC ELECTRON TRANSPORT CHAIN	ANAEROBIC ELECTRON TRANSPORT CHAIN	Details ...	14	-0.76305246	-1.6071082	0.0	0.51361924	0.875	329	tags=50%, list=8%, signal=54%	
NITRATE ASSIMILATION	NITRATE ASSIMILATION	Details ...	20	-0.8565204	-1.5914296	0.0	0.5604284	0.911	252	tags=65%, list=6%, signal=69%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	33	-0.74771035	-1.5861633	0.0	0.54726905	0.918	393	tags=58%, list=9%, signal=63%	
HEME TRANSPORT	HEME TRANSPORT	Details ...	12	-0.6413219	-1.5844666	0.0	0.5255552	0.918	218	tags=58%, list=5%, signal=61%	
MENAQUINONE BIOSYNTHETIC PROCESS	MENAQUINONE BIOSYNTHETIC PROCESS	Details ...	9	-0.84931517	-1.5822845	0.0	0.50487787	0.918	379	tags=67%, list=9%, signal=73%	
EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE	EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE	Details ...	12	-0.7016326	-1.5787463	0.0	0.4989953	0.918	650	tags=50%, list=16%, signal=59%	
PYRIMIDINE NUCLEOBASE METABOLIC PROCESS	PYRIMIDINE NUCLEOBASE METABOLIC PROCESS	Details ...	5	-0.91168445	-1.5768965	0.0	0.48194158	0.918	302	tags=80%, list=7%, signal=86%	
FORMATE DEHYDROGENASE COMPLEX	FORMATE DEHYDROGENASE COMPLEX		7	-0.7457896	-1.5524528	0.0	0.5711802	0.947	325	tags=57%, list=8%, signal=62%	
FORMATE DEHYDROGENASE (QUINONE) ACTIVITY	FORMATE DEHYDROGENASE (QUINONE) ACTIVITY		7	-0.7457896	-1.5524528	0.0	0.54521745	0.947	325	tags=57%, list=8%, signal=62%	
DIMETHYL SULFOXIDE REDUCTASE ACTIVITY	DIMETHYL SULFOXIDE REDUCTASE ACTIVITY		6	-0.9223535	-1.5477135	0.0	0.5454284	0.963	329	tags=100%, list=8%, signal=108%	
BACTERIAL-TYPE FLAGELLUM	BACTERIAL-TYPE FLAGELLUM		24	-0.76418716	-1.5460418	0.10299625	0.531876	0.963	588	tags=67%, list=14%, signal=77%	
