NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DNA REPAIR	DNA REPAIR	Details ...	75	0.7020018	2.3756573	0.0	0.0	0.0	282	tags=40%, list=7%, signal=42%	
ENZYME BINDING	ENZYME BINDING	Details ...	10	0.8084243	2.0371702	0.0018115942	0.026709223	0.041	26	tags=40%, list=1%, signal=40%	
3'-5'-EXORIBONUCLEASE ACTIVITY	3'-5'-EXORIBONUCLEASE ACTIVITY	Details ...	6	0.81730926	1.898391	0.0	0.123016074	0.209	171	tags=33%, list=4%, signal=35%	
SINGLE-STRANDED DNA BINDING	SINGLE-STRANDED DNA BINDING	Details ...	21	0.6137681	1.8803647	0.012711864	0.1180379	0.249	229	tags=29%, list=6%, signal=30%	
DNA DUPLEX UNWINDING	DNA DUPLEX UNWINDING	Details ...	13	0.73436224	1.8782586	0.007677543	0.09701926	0.255	146	tags=46%, list=4%, signal=48%	
DNA RECOMBINATION	DNA RECOMBINATION	Details ...	52	0.49715772	1.8718796	0.005952381	0.0860823	0.268	229	tags=19%, list=6%, signal=20%	
MRNA CATABOLIC PROCESS	MRNA CATABOLIC PROCESS	Details ...	15	0.63565886	1.8535779	0.0	0.09100913	0.314	105	tags=27%, list=3%, signal=27%	
HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES	HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES	Details ...	9	0.7901853	1.8494548	0.0021459227	0.08324865	0.323	92	tags=44%, list=2%, signal=45%	
SOS RESPONSE	SOS RESPONSE	Details ...	29	0.95357865	1.7989249	0.0	0.13546246	0.448	82	tags=83%, list=2%, signal=84%	
CELLULAR RESPONSE TO DNA DAMAGE STIMULUS	CELLULAR RESPONSE TO DNA DAMAGE STIMULUS	Details ...	234	0.39594033	1.7949244	0.0035842294	0.12679532	0.455	584	tags=25%, list=14%, signal=27%	
DAMAGED DNA BINDING	DAMAGED DNA BINDING	Details ...	8	0.8465902	1.7892153	0.007490637	0.12393474	0.471	362	tags=63%, list=9%, signal=68%	
NUCLEOTIDE-EXCISION REPAIR	NUCLEOTIDE-EXCISION REPAIR	Details ...	6	0.8901824	1.7375703	0.001980198	0.20111163	0.617	362	tags=67%, list=9%, signal=73%	
CHAPERONE BINDING	CHAPERONE BINDING	Details ...	9	0.7331152	1.7216545	0.021153847	0.21941684	0.655	574	tags=67%, list=14%, signal=77%	
UBIQUINONE BIOSYNTHETIC PROCESS	UBIQUINONE BIOSYNTHETIC PROCESS	Details ...	15	0.6044955	1.7208335	0.03187251	0.20594603	0.66	695	tags=53%, list=17%, signal=64%	
RESPONSE TO IONIZING RADIATION	RESPONSE TO IONIZING RADIATION	Details ...	10	0.6161432	1.6790448	0.03142329	0.2932956	0.747	379	tags=30%, list=9%, signal=33%	
BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING	BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING	Details ...	5	0.7084603	1.6597987	0.014084507	0.32924688	0.792	867	tags=40%, list=21%, signal=50%	
DNA-DIRECTED DNA POLYMERASE ACTIVITY	DNA-DIRECTED DNA POLYMERASE ACTIVITY	Details ...	14	0.7794949	1.6382772	0.0	0.38161552	0.842	23	tags=29%, list=1%, signal=29%	
