NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DNA REPAIR	DNA REPAIR	Details ...	75	0.55471575	2.1206706	0.0	0.07404742	0.027	167	tags=28%, list=4%, signal=29%	
DNA DUPLEX UNWINDING	DNA DUPLEX UNWINDING	Details ...	13	0.6018613	1.7326243	0.0	0.58787733	0.55	332	tags=38%, list=8%, signal=42%	
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, TERMINATION	NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, TERMINATION	Details ...	9	0.6416867	1.7055492	0.0	0.5245143	0.586	374	tags=67%, list=9%, signal=73%	
DNA HELICASE ACTIVITY	DNA HELICASE ACTIVITY	Details ...	14	0.65346915	1.686996	0.0	0.47935307	0.62	332	tags=50%, list=8%, signal=54%	
DNA RECOMBINATION	DNA RECOMBINATION	Details ...	52	0.44945842	1.6349694	0.0	0.639446	0.745	680	tags=35%, list=16%, signal=41%	
RECOMBINATIONAL REPAIR	RECOMBINATIONAL REPAIR	Details ...	10	0.74696547	1.6223316	0.0	0.61897016	0.765	332	tags=50%, list=8%, signal=54%	
SOS RESPONSE	SOS RESPONSE	Details ...	29	0.8821053	1.6164109	0.0	0.5622189	0.788	167	tags=76%, list=4%, signal=78%	
NUCLEOTIDE-EXCISION REPAIR	NUCLEOTIDE-EXCISION REPAIR	Details ...	6	0.7180353	1.560499	0.050884955	0.8665801	0.899	60	tags=50%, list=1%, signal=51%	
SINGLE-STRANDED DNA BINDING	SINGLE-STRANDED DNA BINDING	Details ...	21	0.4782736	1.5454358	0.0	0.8907175	0.925	315	tags=29%, list=8%, signal=31%	
TRANSCRIPTION ANTITERMINATION FACTOR ACTIVITY, RNA BINDING	TRANSCRIPTION ANTITERMINATION FACTOR ACTIVITY, RNA BINDING	Details ...	11	0.6031528	1.5287101	0.019455252	0.94229764	0.957	374	tags=55%, list=9%, signal=60%	
CYCLIC-DI-GMP BINDING	CYCLIC-DI-GMP BINDING	Details ...	5	0.68223584	1.5075403	0.06534653	1.0	0.982	318	tags=40%, list=8%, signal=43%	
RESPONSE TO COLD	RESPONSE TO COLD	Details ...	13	0.7480601	1.505037	0.0	0.9721735	0.982	558	tags=69%, list=13%, signal=80%	
HELICASE ACTIVITY	HELICASE ACTIVITY	Details ...	25	0.6172099	1.4832618	0.027139874	1.0	1.0	735	tags=56%, list=18%, signal=68%	
FATTY ACID BETA-OXIDATION	FATTY ACID BETA-OXIDATION	Details ...	15	0.73974997	1.4812111	0.0	1.0	1.0	621	tags=60%, list=15%, signal=70%	
REGULATION OF GENE EXPRESSION	REGULATION OF GENE EXPRESSION	Details ...	21	0.42239255	1.478075	0.0	1.0	1.0	374	tags=29%, list=9%, signal=31%	
MRNA CATABOLIC PROCESS	MRNA CATABOLIC PROCESS	Details ...	15	0.5787338	1.4766997	0.07472528	0.952574	1.0	475	tags=40%, list=11%, signal=45%	
CYSTEINE EXPORT ACROSS PLASMA MEMBRANE	CYSTEINE EXPORT ACROSS PLASMA MEMBRANE	Details ...	5	0.69377273	1.4713627	0.071428575	0.9301498	1.0	576	tags=40%, list=14%, signal=46%	
CELL ADHESION INVOLVED IN BIOFILM FORMATION	CELL ADHESION INVOLVED IN BIOFILM FORMATION	Details ...	6	0.8418732	1.4583584	0.029654035	0.97512734	1.0	509	tags=83%, list=12%, signal=95%	
CELL WALL MACROMOLECULE CATABOLIC PROCESS	CELL WALL MACROMOLECULE CATABOLIC PROCESS	Details ...	6	0.7045962	1.4205	0.040339705	1.0	1.0	640	tags=50%, list=15%, signal=59%	
'DE NOVO' PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS	'DE NOVO' PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS	Details ...	10	0.55904716	1.4038609	0.095132746	1.0	1.0	919	tags=60%, list=22%, signal=77%	
BIOFILM FORMATION	BIOFILM FORMATION		16	0.5294775	1.4015546	0.0	1.0	1.0	937	tags=50%, list=23%, signal=64%	
DAMAGED DNA BINDING	DAMAGED DNA BINDING		8	0.64038646	1.393148	0.12470588	1.0	1.0	167	tags=38%, list=4%, signal=39%	
ACYL-COA DEHYDROGENASE ACTIVITY	ACYL-COA DEHYDROGENASE ACTIVITY		5	0.7518499	1.392778	0.05882353	1.0	1.0	621	tags=60%, list=15%, signal=70%	
PYRIMIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS	PYRIMIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS		11	0.6709764	1.38431	0.056485355	1.0	1.0	919	tags=73%, list=22%, signal=93%	
DNA-DEPENDENT ATPASE ACTIVITY	DNA-DEPENDENT ATPASE ACTIVITY		10	0.65781987	1.3795959	0.08483291	1.0	1.0	402	tags=40%, list=10%, signal=44%	
NEGATIVE REGULATION OF CELL GROWTH	NEGATIVE REGULATION OF CELL GROWTH		5	0.6577999	1.3738581	0.098958336	1.0	1.0	1092	tags=60%, list=26%, signal=81%	
RESPONSE TO IONIZING RADIATION	RESPONSE TO IONIZING RADIATION		10	0.50297165	1.3715413	0.111979164	1.0	1.0	322	tags=30%, list=8%, signal=32%	
