NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN AUTOPHOSPHORYLATION	PROTEIN AUTOPHOSPHORYLATION	Details ...	26	0.54717153	1.725153	0.021113243	1.0	0.61	340	tags=27%, list=8%, signal=29%	
PROTEOLYSIS	PROTEOLYSIS	Details ...	112	0.42517355	1.7107624	0.0111524165	0.7951697	0.646	733	tags=30%, list=18%, signal=36%	
PHOSPHORELAY SENSOR KINASE ACTIVITY	PHOSPHORELAY SENSOR KINASE ACTIVITY	Details ...	26	0.54059404	1.702633	0.025096525	0.5825814	0.678	957	tags=46%, list=23%, signal=60%	
PROTEIN HISTIDINE KINASE ACTIVITY	PROTEIN HISTIDINE KINASE ACTIVITY	Details ...	26	0.54059404	1.702633	0.025096525	0.43693602	0.678	957	tags=46%, list=23%, signal=60%	
PEPTIDYL-HISTIDINE PHOSPHORYLATION	PEPTIDYL-HISTIDINE PHOSPHORYLATION	Details ...	26	0.54059404	1.702633	0.025096525	0.34954882	0.678	957	tags=46%, list=23%, signal=60%	
SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION	SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION	Details ...	28	0.50960314	1.6940624	0.03256705	0.32048658	0.702	1042	tags=46%, list=25%, signal=62%	
PEPTIDASE ACTIVITY	PEPTIDASE ACTIVITY	Details ...	83	0.4354243	1.6816034	0.015122874	0.31476122	0.737	733	tags=31%, list=18%, signal=37%	
TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS	Details ...	37	0.48316556	1.668752	0.03868472	0.320027	0.787	615	tags=30%, list=15%, signal=35%	
CARBOXYPEPTIDASE ACTIVITY	CARBOXYPEPTIDASE ACTIVITY	Details ...	13	0.76083094	1.6525434	0.00967118	0.33945185	0.832	669	tags=69%, list=16%, signal=82%	
HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES	HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES	Details ...	9	0.6818073	1.6508633	0.014897579	0.31198022	0.837	1253	tags=89%, list=30%, signal=127%	
SIGNAL TRANSDUCTION	SIGNAL TRANSDUCTION	Details ...	33	0.4715633	1.6366789	0.038314175	0.33607548	0.865	615	tags=27%, list=15%, signal=32%	
CELL WALL ORGANIZATION	CELL WALL ORGANIZATION	Details ...	67	0.5264273	1.6317276	0.03787879	0.32769397	0.88	797	tags=46%, list=19%, signal=56%	
