NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	Details ...	14	-0.7590811	-1.9125687	0.0	0.27891353	0.158	121	tags=36%, list=3%, signal=37%	
POTASSIUM ION BINDING	POTASSIUM ION BINDING	Details ...	12	-0.6885154	-1.7878749	0.0	0.76658994	0.485	344	tags=33%, list=8%, signal=36%	
PROTEIN HEXAMERIZATION	PROTEIN HEXAMERIZATION	Details ...	12	-0.7231436	-1.7659458	0.0	0.6700069	0.552	347	tags=58%, list=8%, signal=63%	
NUCLEOTIDE METABOLIC PROCESS	NUCLEOTIDE METABOLIC PROCESS	Details ...	11	-0.6688102	-1.7563725	0.0021459227	0.56059855	0.577	684	tags=45%, list=16%, signal=54%	
NAD BINDING	NAD BINDING	Details ...	42	-0.57908446	-1.7218181	0.0	0.66867524	0.671	974	tags=48%, list=23%, signal=62%	
PROTEIN FOLDING	PROTEIN FOLDING	Details ...	29	-0.6005545	-1.6560723	0.037199125	1.0	0.809	430	tags=45%, list=10%, signal=50%	
GLUCOSE METABOLIC PROCESS	GLUCOSE METABOLIC PROCESS	Details ...	12	-0.7387234	-1.6549864	0.0	0.93851644	0.81	637	tags=67%, list=15%, signal=79%	
DIPEPTIDASE ACTIVITY	DIPEPTIDASE ACTIVITY	Details ...	6	-0.74951524	-1.6540132	0.0	0.8292408	0.811	260	tags=50%, list=6%, signal=53%	
METALLOPEPTIDASE ACTIVITY	METALLOPEPTIDASE ACTIVITY	Details ...	34	-0.50115657	-1.6518842	0.008196721	0.7543104	0.817	382	tags=32%, list=9%, signal=35%	
NADP BINDING	NADP BINDING	Details ...	30	-0.59410185	-1.639283	0.0	0.7697473	0.834	941	tags=53%, list=23%, signal=68%	
PROTEOLYSIS	PROTEOLYSIS	Details ...	112	-0.38460886	-1.636847	0.0043010754	0.7132056	0.834	671	tags=28%, list=16%, signal=32%	
CELLULAR RESPONSE TO HEAT	CELLULAR RESPONSE TO HEAT	Details ...	7	-0.88137	-1.6363118	0.0	0.6582564	0.834	372	tags=71%, list=9%, signal=78%	
BACTERIAL-TYPE FLAGELLUM	BACTERIAL-TYPE FLAGELLUM	Details ...	24	-0.7608559	-1.6295482	0.015503876	0.64590704	0.846	457	tags=71%, list=11%, signal=79%	
BACTERIAL-TYPE FLAGELLUM ORGANIZATION	BACTERIAL-TYPE FLAGELLUM ORGANIZATION	Details ...	18	-0.7507131	-1.6209352	0.005859375	0.65396947	0.858	608	tags=67%, list=15%, signal=78%	
GLYCOLYTIC PROCESS	GLYCOLYTIC PROCESS	Details ...	21	-0.7772545	-1.6198417	0.0	0.6167573	0.859	646	tags=76%, list=16%, signal=90%	
CYTOSOL	CYTOSOL	Details ...	987	-0.48200253	-1.6123049	0.0	0.6199984	0.871	1142	tags=47%, list=27%, signal=49%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	Details ...	33	-0.72942257	-1.5984535	0.015936255	0.66093916	0.903	536	tags=67%, list=13%, signal=76%	
BACTERIAL-TYPE FLAGELLUM BASAL BODY	BACTERIAL-TYPE FLAGELLUM BASAL BODY	Details ...	18	-0.7982057	-1.595942	0.015384615	0.63786006	0.906	511	tags=83%, list=12%, signal=95%	
IDENTICAL PROTEIN BINDING	IDENTICAL PROTEIN BINDING	Details ...	384	-0.4541483	-1.5693904	0.0	0.763967	0.935	1276	tags=51%, list=31%, signal=66%	
SIGNAL PEPTIDE PROCESSING	SIGNAL PEPTIDE PROCESSING	Details ...	5	-0.6047018	-1.565297	0.032388665	0.7507558	0.941	223	tags=40%, list=5%, signal=42%	
ZINC ION BINDING	ZINC ION BINDING		149	-0.39209288	-1.5640094	0.0043010754	0.72269446	0.941	1160	tags=43%, list=28%, signal=57%	
RESPONSE TO HEAT	RESPONSE TO HEAT		52	-0.5798561	-1.563081	0.06153846	0.6941736	0.943	731	tags=54%, list=18%, signal=65%	
OXIDOREDUCTASE ACTIVITY, ACTING ON NAD(P)H	OXIDOREDUCTASE ACTIVITY, ACTING ON NAD(P)H		11	-0.74631476	-1.5597577	0.025052192	0.6811798	0.944	682	tags=55%, list=16%, signal=65%	
ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	ARCHAEAL OR BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY		12	-0.8026154	-1.5571666	0.0	0.66664296	0.948	543	tags=75%, list=13%, signal=86%	
INTRACELLULAR	INTRACELLULAR		7	-0.7465578	-1.5568525	0.023157895	0.6419093	0.948	753	tags=71%, list=18%, signal=87%	
GLUCONEOGENESIS	GLUCONEOGENESIS		14	-0.7163787	-1.5556691	0.008602151	0.6238287	0.948	593	tags=57%, list=14%, signal=66%	
PEPTIDASE ACTIVITY	PEPTIDASE ACTIVITY		83	-0.37093207	-1.5478171	0.01039501	0.639776	0.953	642	tags=25%, list=15%, signal=29%	
CYTOPLASM	CYTOPLASM		797	-0.43982175	-1.5461673	0.0	0.62600064	0.955	1241	tags=48%, list=30%, signal=55%	
PHOSPHORYLATION	PHOSPHORYLATION		157	-0.35342926	-1.5444093	0.0042283298	0.6129921	0.959	1079	tags=38%, list=26%, signal=49%	
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING	CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING		8	-0.69137794	-1.5438876	0.048245613	0.5952451	0.959	387	tags=63%, list=9%, signal=69%	
PEROXIREDOXIN ACTIVITY	PEROXIREDOXIN ACTIVITY		6	-0.90107495	-1.5402384	0.007920792	0.59342766	0.959	361	tags=83%, list=9%, signal=91%	
PROTEIN CATABOLIC PROCESS	PROTEIN CATABOLIC PROCESS		8	-0.826058	-1.5327765	0.0042462847	0.6096849	0.967	558	tags=63%, list=13%, signal=72%	
NUCLEOBASE-CONTAINING SMALL MOLECULE INTERCONVERSION	NUCLEOBASE-CONTAINING SMALL MOLECULE INTERCONVERSION		18	-0.589938	-1.5311446	0.0123203285	0.59843075	0.969	744	tags=50%, list=18%, signal=61%	
KINASE ACTIVITY	KINASE ACTIVITY		154	-0.3534744	-1.5303061	0.0084566595	0.5843933	0.971	1079	tags=38%, list=26%, signal=49%	
TRANSFERASE ACTIVITY, TRANSFERRING PENTOSYL GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING PENTOSYL GROUPS		8	-0.6445155	-1.5281355	0.00856531	0.57679325	0.973	666	tags=63%, list=16%, signal=74%	
UNFOLDED PROTEIN BINDING	UNFOLDED PROTEIN BINDING		22	-0.6616555	-1.5223396	0.05982906	0.5859891	0.973	817	tags=68%, list=20%, signal=84%	
PROTEIN-CONTAINING COMPLEX	PROTEIN-CONTAINING COMPLEX		21	-0.4125284	-1.5219575	0.028508771	0.57202166	0.973	960	tags=43%, list=23%, signal=55%	
PENTOSE-PHOSPHATE SHUNT	PENTOSE-PHOSPHATE SHUNT		10	-0.8186456	-1.5175017	0.004149378	0.57706976	0.976	753	tags=90%, list=18%, signal=110%	
GLYOXYLATE CYCLE	GLYOXYLATE CYCLE		8	-0.78743327	-1.5155919	0.049079753	0.5704595	0.977	792	tags=63%, list=19%, signal=77%	
PEPTIDE CATABOLIC PROCESS	PEPTIDE CATABOLIC PROCESS		6	-0.8659614	-1.5125215	0.0	0.5691188	0.977	260	tags=67%, list=6%, signal=71%	
PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR	PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR		24	-0.51459235	-1.5029078	0.023157895	0.59535515	0.983	711	tags=38%, list=17%, signal=45%	
CHAPERONE BINDING	CHAPERONE BINDING		9	-0.70668846	-1.4940867	0.083333336	0.6228534	0.987	765	tags=78%, list=18%, signal=95%	
ISOMERASE ACTIVITY	ISOMERASE ACTIVITY		101	-0.35279432	-1.4792345	0.017817372	0.6752469	0.991	757	tags=26%, list=18%, signal=31%	
LYASE ACTIVITY	LYASE ACTIVITY		161	-0.40361476	-1.47647	0.018947368	0.6731299	0.991	1136	tags=45%, list=27%, signal=60%	
HSLUV PROTEASE COMPLEX	HSLUV PROTEASE COMPLEX		5	-0.8996918	-1.4737715	0.0	0.6699906	0.991	302	tags=80%, list=7%, signal=86%	
HOLLIDAY JUNCTION RESOLVASE COMPLEX	HOLLIDAY JUNCTION RESOLVASE COMPLEX		5	-0.58142334	-1.4737394	0.06504065	0.65566826	0.991	98	tags=20%, list=2%, signal=20%	
ATP-DEPENDENT PEPTIDASE ACTIVITY	ATP-DEPENDENT PEPTIDASE ACTIVITY		7	-0.68477404	-1.4733876	0.03846154	0.6433466	0.991	390	tags=57%, list=9%, signal=63%	
MOTOR ACTIVITY	MOTOR ACTIVITY		8	-0.94041014	-1.4673793	0.0	0.65615964	0.991	256	tags=100%, list=6%, signal=106%	
RIBOFLAVIN BIOSYNTHETIC PROCESS	RIBOFLAVIN BIOSYNTHETIC PROCESS		9	-0.6401955	-1.4640036	0.030991735	0.6585006	0.991	870	tags=56%, list=21%, signal=70%	
PROTEIN DISULFIDE ISOMERASE ACTIVITY	PROTEIN DISULFIDE ISOMERASE ACTIVITY		5	-0.6898182	-1.4622884	0.062111802	0.65232044	0.991	588	tags=60%, list=14%, signal=70%	
PHOSPHORELAY RESPONSE REGULATOR ACTIVITY	PHOSPHORELAY RESPONSE REGULATOR ACTIVITY		24	-0.5236139	-1.4610537	0.058091287	0.64570534	0.991	892	tags=38%, list=21%, signal=47%	
SERINE-TYPE PEPTIDASE ACTIVITY	SERINE-TYPE PEPTIDASE ACTIVITY		18	-0.55782604	-1.4607468	0.075789474	0.6346079	0.991	453	tags=33%, list=11%, signal=37%	
ANTIOXIDANT ACTIVITY	ANTIOXIDANT ACTIVITY		6	-0.86220104	-1.4593034	0.001980198	0.62826926	0.991	361	tags=83%, list=9%, signal=91%	
RESPONSE TO DRUG	RESPONSE TO DRUG		23	-0.5052316	-1.4590238	0.09375	0.6176747	0.991	728	tags=39%, list=18%, signal=47%	
PHOSPHATASE ACTIVITY	PHOSPHATASE ACTIVITY		27	-0.5248971	-1.4547169	0.05511811	0.62540454	0.992	1061	tags=56%, list=26%, signal=74%	
RESPONSE TO TOXIC SUBSTANCE	RESPONSE TO TOXIC SUBSTANCE		19	-0.5533288	-1.4493374	0.08528785	0.63762766	0.994	1425	tags=68%, list=34%, signal=104%	
MAGNESIUM ION BINDING	MAGNESIUM ION BINDING		173	-0.43689394	-1.4475713	0.011135858	0.63389957	0.994	1257	tags=51%, list=30%, signal=71%	
CELL REDOX HOMEOSTASIS	CELL REDOX HOMEOSTASIS		20	-0.52752465	-1.4469538	0.014056225	0.62549347	0.995	751	tags=45%, list=18%, signal=55%	
PROTEIN BINDING	PROTEIN BINDING		991	-0.32712558	-1.443894	0.015837105	0.6280985	0.996	1144	tags=36%, list=28%, signal=38%	
METABOLIC PROCESS	METABOLIC PROCESS		116	-0.36749944	-1.442943	0.054968286	0.62172806	0.996	711	tags=33%, list=17%, signal=38%	
NEGATIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION	NEGATIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION		8	-0.670516	-1.4424018	0.058577407	0.6134715	0.996	945	tags=63%, list=23%, signal=81%	
TRANSFERASE ACTIVITY	TRANSFERASE ACTIVITY		532	-0.28646165	-1.4406863	0.02494331	0.61054873	0.996	1156	tags=35%, list=28%, signal=43%	
PROTEIN REFOLDING	PROTEIN REFOLDING		12	-0.61894155	-1.4398557	0.12715517	0.6038845	0.996	689	tags=67%, list=17%, signal=80%	
SIGMA FACTOR ANTAGONIST ACTIVITY	SIGMA FACTOR ANTAGONIST ACTIVITY		8	-0.74959236	-1.438856	0.049382716	0.59844184	0.996	945	tags=75%, list=23%, signal=97%	
METALLOENDOPEPTIDASE ACTIVITY	METALLOENDOPEPTIDASE ACTIVITY		18	-0.5362322	-1.4387813	0.11377245	0.58940697	0.996	671	tags=33%, list=16%, signal=40%	
DEPHOSPHORYLATION	DEPHOSPHORYLATION		43	-0.5209085	-1.4349098	0.060606062	0.5940354	0.996	1188	tags=60%, list=29%, signal=84%	
OXIDOREDUCTASE ACTIVITY	OXIDOREDUCTASE ACTIVITY		337	-0.38109624	-1.4305946	0.06866953	0.60180205	0.998	1051	tags=38%, list=25%, signal=47%	
TRANSFERASE ACTIVITY, TRANSFERRING ACYL GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING ACYL GROUPS		65	-0.36067665	-1.4298196	0.0022123894	0.59538025	0.998	803	tags=31%, list=19%, signal=38%	
GLUCAN BIOSYNTHETIC PROCESS	GLUCAN BIOSYNTHETIC PROCESS		5	-0.7604511	-1.426468	0.075789474	0.59918445	0.999	398	tags=40%, list=10%, signal=44%	
D-ALANINE BIOSYNTHETIC PROCESS	D-ALANINE BIOSYNTHETIC PROCESS		5	-0.6620752	-1.4193087	0.064386316	0.6187896	0.999	795	tags=40%, list=19%, signal=49%	
CATALYTIC ACTIVITY	CATALYTIC ACTIVITY		399	-0.3478864	-1.419207	0.06546275	0.610448	0.999	1155	tags=43%, list=28%, signal=54%	
BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY	BACTERIAL-TYPE FLAGELLUM-DEPENDENT SWARMING MOTILITY		13	-0.6124802	-1.4186974	0.08033827	0.6038591	0.999	399	tags=54%, list=10%, signal=59%	
RESPONSE TO OXIDATIVE STRESS	RESPONSE TO OXIDATIVE STRESS		46	-0.46741977	-1.4165137	0.1090535	0.6036185	0.999	428	tags=30%, list=10%, signal=34%	
PROTEIN-CONTAINING COMPLEX ASSEMBLY	PROTEIN-CONTAINING COMPLEX ASSEMBLY		5	-0.78606796	-1.416142	0.14347826	0.59668356	0.999	387	tags=60%, list=9%, signal=66%	
RESPONSE TO IONIZING RADIATION	RESPONSE TO IONIZING RADIATION		10	-0.54533756	-1.4155856	0.10313901	0.5904468	0.999	742	tags=40%, list=18%, signal=49%	
