NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
METHIONINE TRANSPORT	METHIONINE TRANSPORT	Details ...	5	-0.8193599	-1.6428807	0.012145749	1.0	0.844	129	tags=40%, list=3%, signal=41%	
RNA PHOSPHODIESTER BOND HYDROLYSIS	RNA PHOSPHODIESTER BOND HYDROLYSIS	Details ...	10	-0.71596014	-1.6023748	0.0058252425	1.0	0.916	764	tags=50%, list=18%, signal=61%	
RECOMBINATIONAL REPAIR	RECOMBINATIONAL REPAIR	Details ...	10	-0.67397314	-1.555167	0.007952286	1.0	0.962	207	tags=30%, list=5%, signal=31%	
BACTERIAL NUCLEOID	BACTERIAL NUCLEOID	Details ...	8	-0.71914613	-1.5339917	0.01724138	1.0	0.981	542	tags=50%, list=13%, signal=57%	
AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	15	-0.6499098	-1.520334	0.030120483	1.0	0.987	386	tags=40%, list=9%, signal=44%	
CARNITINE METABOLIC PROCESS	CARNITINE METABOLIC PROCESS	Details ...	12	-0.5687391	-1.5044739	0.043912176	1.0	0.988	28	tags=25%, list=1%, signal=25%	
SUCCINATE DEHYDROGENASE ACTIVITY	SUCCINATE DEHYDROGENASE ACTIVITY	Details ...	7	-0.92399627	-1.5005119	0.0019646366	1.0	0.992	33	tags=57%, list=1%, signal=58%	
OLIGOPEPTIDE TRANSPORT	OLIGOPEPTIDE TRANSPORT	Details ...	6	-0.6398743	-1.4992877	0.025948104	1.0	0.992	461	tags=33%, list=11%, signal=37%	
3'-5'-EXORIBONUCLEASE ACTIVITY	3'-5'-EXORIBONUCLEASE ACTIVITY	Details ...	6	-0.6958845	-1.4913082	0.041198503	1.0	0.992	957	tags=50%, list=23%, signal=65%	
3'-5' EXONUCLEASE ACTIVITY	3'-5' EXONUCLEASE ACTIVITY	Details ...	12	-0.6578184	-1.4877083	0.0059405942	1.0	0.992	846	tags=58%, list=20%, signal=73%	
TRNA WOBBLE URIDINE MODIFICATION	TRNA WOBBLE URIDINE MODIFICATION	Details ...	7	-0.77081496	-1.4876477	0.012145749	1.0	0.992	504	tags=71%, list=12%, signal=81%	
PORIN ACTIVITY	PORIN ACTIVITY	Details ...	17	-0.60923845	-1.4871287	0.079395086	1.0	0.992	295	tags=35%, list=7%, signal=38%	
PROTEIN TRANSMEMBRANE TRANSPORTER ACTIVITY	PROTEIN TRANSMEMBRANE TRANSPORTER ACTIVITY	Details ...	7	-0.8495412	-1.4863713	0.00591716	1.0	0.992	390	tags=86%, list=9%, signal=94%	
